City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Dzhebariki-Khaya,RU,62.2167,135.8,-10.28,96,100,3.6,overcast clouds
317,Broken Hill,AU,-31.95,141.4333,80.31,24,40,6.91,scattered clouds
318,Inta,RU,66.0317,60.1659,4.68,95,100,17.96,overcast clouds
319,Metapan,SV,14.3333,-89.45,67.08,95,8,4.36,clear sky
320,Nowy Targ,PL,49.4778,20.0323,32.41,97,96,2.06,light snow
321,Kandrian,PG,-6.2167,149.55,86.61,67,98,10.36,overcast clouds
322,Suntar,RU,62.1444,117.6319,-20.25,90,14,4.97,few clouds
323,Simao,CN,22.7886,100.9748,65.52,55,91,2.98,overcast clouds
324,Sao Filipe,CV,14.8961,-24.4956,75.47,72,64,11.63,broken clouds
325,Chichibu,JP,35.9903,139.0764,52.09,91,100,2.35,overcast clouds
326,Sebaco,NI,12.8532,-86.0963,69.08,90,2,6.96,clear sky
327,Itaueira,BR,-7.6033,-43.0256,73.71,80,31,4.59,scattered clouds
328,Esna,EG,25.2934,32.554,56.95,53,77,6.4,broken clouds
329,Katsuura,JP,35.1333,140.3,55.11,68,100,7.65,overcast clouds
330,Taksimo,RU,56.3444,114.8794,11.21,89,100,0.58,light snow
331,Kitui,KE,-1.367,38.0106,66.33,83,81,1.61,broken clouds
332,Kupang,ID,-10.1667,123.5833,86.58,84,75,11.5,broken clouds
333,Rantepao,ID,-2.9701,119.8978,78.44,77,100,2.48,overcast clouds
334,Alta Floresta,BR,-9.8756,-56.0861,71.73,98,100,2.01,overcast clouds
335,Rio Grande,BR,-32.035,-52.0986,64.94,85,6,10.96,clear sky
336,Chhatak,BD,25.0333,91.6667,69.31,91,100,3.47,light rain
337,Mocuba,MZ,-16.8392,36.9856,86.43,47,28,7.11,scattered clouds
338,North Branch,US,45.5113,-92.9802,30.29,89,93,20.83,light snow
339,Hovd,MN,48.0056,91.6419,25.0,39,100,2.3,overcast clouds
340,Rundu,NA,-17.9333,19.7667,67.62,79,96,6.11,overcast clouds
341,Kloulklubed,PW,7.0419,134.2556,86.5,77,100,12.39,overcast clouds
342,Guerrero Negro,MX,27.9769,-114.0611,61.39,89,0,9.08,clear sky
